# Dates, Infections, Hospitalizations, Deaths, Mean_rt
2020-09-25,257005.26657254025,52556.0,735.4275362830372,1.0333744562152178
2020-09-26,259013.7544466937,52604.0,734.5311209619167,1.0353153395681134
2020-09-27,261134.6778549424,52671.0,733.8905977971989,1.0372505806697943
2020-09-28,263370.05608937057,52759.0,733.5088244258993,1.0391799814933955
2020-09-29,265722.03208357585,52868.0,733.3890186965436,1.0411033535119425
2020-09-30,268192.8750922674,52997.0,733.5343308086091,1.0430205114821467
2020-10-01,270784.98462017695,53147.0,733.9478202865574,1.0449312701359086
2020-10-02,273500.89405200584,53318.0,734.632483963722,1.0468354424680044
2020-10-03,276343.2733877918,53511.0,735.5913333866063,1.0487328382661438
2020-10-04,279314.9316527658,53725.0,736.8277372095489,1.0506232624703655
2020-10-05,282418.81976514764,53961.0,738.3450392430165,1.0525065136792338
2020-10-06,285658.03405836644,54219.0,740.1465421184928,1.0543823831239125
2020-10-07,289035.82010432944,54499.0,742.2355236187097,1.056250654055709
2020-10-08,292555.5764658919,54802.0,744.6152885923916,1.0581111012674558
2020-10-09,296220.8583387952,55127.0,747.2898596159971,1.0599634905513267
2020-10-10,300035.3812862324,55476.0,750.2632941842411,1.0618075780919878
2020-10-11,304003.025229693,55847.0,753.5397078496426,1.0636431098865935
2020-10-12,308127.8386793221,56243.0,757.1233236235848,1.0654698212389737
2020-10-13,312414.0430851582,56662.0,761.0185632859295,1.0672874362974518
2020-10-14,316866.0372316002,57106.0,765.2301520507582,1.0690956675818404
2020-10-15,321488.40168855694,57575.0,769.7630896585223,1.0708942154757364
2020-10-16,326285.9033693033,58069.0,774.622626438505,1.0726827676955575
2020-10-17,331263.50001444627,58589.0,779.8142782024245,1.0744609981123074
2020-10-18,336426.3457287961,59136.0,785.343845568584,1.0762285686892226
2020-10-19,341779.79485966003,59709.0,791.2174561573646,1.0779851258409858
2020-10-20,347329.4072801158,60309.0,797.4415798337454,1.079730301209937
2020-10-21,353080.95325023687,60937.0,804.0230317951673,1.0814637110426006
2020-10-22,359040.4183585399,61594.0,810.968977893831,1.0831849556376838
2020-10-23,365214.00851101306,62281.0,818.2869450679302,1.084893618845398
2020-10-24,371608.1546700116,62997.0,825.984838338857,1.0865892672359216
2020-10-25,378229.51768237294,63744.0,834.0709563307744,1.0882714494658194
2020-10-26,385084.9930737955,64522.0,842.5540031854009,1.0899396957084473
2020-10-27,392181.7156780691,65333.0,851.4431001863811,1.0915935169957565
2020-10-28,399527.06417825783,66176.0,860.7477989549509,1.093232404635861
2020-10-29,407128.6653978662,67053.0,870.4780974452664,1.0948558295527404
2020-10-30,414994.39840269997,67965.0,880.6444573323488,1.0964632416653972
2020-10-31,423132.3983782508,68913.0,891.2578214149628,1.0980540693235934
2020-11-01,431551.0602250866,69898.0,902.3296309556492,1.0996277188035908
2020-11-02,440259.0418446839,70920.0,913.871843367184,1.1011835738994036
2020-11-03,449265.26706203347,71981.0,925.8969507112453,1.102720995631647
2020-11-04,458578.9281686228,73082.0,938.4179989580274,1.104239322131896
2020-11-05,468209.4880811443,74223.0,951.4486076556457,1.1057378687806867
2020-11-06,478166.6821101661,75407.0,965.0029897991576,1.1072159286878647
2020-11-07,488460.5193593201,76634.0,979.0959718628783,1.1086727736341253
2020-11-08,499101.28379763005,77906.0,993.7430140682151,1.1101076556185254
2020-11-09,510099.53509042965,79224.0,1008.9602309192893,1.11151980919137
2020-11-10,521466.1093214646,80590.0,1024.7644119141055,1.1129084547798274
2020-11-11,533212.1197808068,82004.0,1041.1730423359625,1.1142728032181866
2020-11-12,545348.9630010701,83468.0,1058.2043241046335,1.1156120718324476
2020-11-13,557888.3117161886,84984.0,1075.8771967504258,1.1169254735079064
2020-11-14,570842.120179035,86553.0,1094.2113586359974,1.1182122316947258
2020-11-15,584222.6278549578,88178.0,1113.2272884752506,1.1194715914165483
2020-11-16,598042.3625856932,89859.0,1132.946267129566,1.1207028275608082
2020-11-17,612314.1421930138,91598.0,1153.3903996233316,1.121905249261426
2020-11-18,627051.0707607873,93398.0,1174.5826372967,1.1230781955188767
2020-11-19,642266.5310977496,95259.0,1196.5468000929727,1.1242210225617655
2020-11-20,657974.1707795055,97185.0,1219.307598932167,1.1253330813142777
2020-11-21,674187.880277566,99176.0,1242.8906581161034,1.1264136867954653
2020-11-22,690921.7660441884,101236.0,1267.3225376855232,1.1274620875553245
2020-11-23,708190.1209755015,103365.0,1292.6307556388542,1.1284774430372997
2020-11-24,726007.3954564446,105567.0,1318.8438099378673,1.1294588146306632
2020-11-25,744388.1682025032,107843.0,1345.9912002312956,1.1304051687596128
2020-11-26,763347.1135192071,110195.0,1374.103449234342,1.13131538528264
2020-11-27,782898.9627669745,112627.0,1403.2121237126112,1.1321882652968955
2020-11-28,803058.4602301065,115140.0,1433.3498551051896,1.1330225364281854
2020-11-29,823840.3153295143,117737.0,1464.5503597143743,1.133816857009252
2020-11-30,845259.1520556906,120419.0,1496.8484584827772,1.1345698206248536
2020-12-01,867329.4543266306,123191.0,1530.280096428641,1.135279960804201
2020-12-02,890065.5053779475,126055.0,1564.8823617638684,1.1359457548042653
2020-12-03,913481.320265204,129012.0,1600.693504773127,1.136565625948206
2020-12-04,937590.571883126,132067.0,1637.7529565883635,1.1371379449711492
2020-12-05,962406.5111121145,135221.0,1676.1013476316552,1.1376610311489197
2020-12-06,987941.8808662909,138478.0,1715.7805253230945,1.138133153559989
2020-12-07,1014208.8231205225,141840.0,1756.8335703938408,1.1385525323477348
2020-12-08,1041218.778071306,145311.0,1799.3048108769917,1.1389173397655261
2020-12-09,1068982.3751764349,148893.0,1843.2398329701305,1.1392257010250997
2020-12-10,1097509.316212603,152590.0,1888.6854877641258,1.139475695169709
2020-12-11,1126808.2006220645,156405.0,1935.6898930261555,1.1396653058453865
2020-12-12,1156886.4215813118,160341.0,1984.30242940199,1.1397924579554757
2020-12-13,1187750.0687434948,164401.0,2034.5737303165192,1.1398550669918643
2020-12-14,1219403.715260959,168588.0,2086.5556652559676,1.1398509824652416
2020-12-15,1251850.2359477486,172906.0,2140.301315552074,1.1397779779895445
2020-12-16,1285090.605190168,177357.0,2195.864941806917,1.139633736385204
2020-12-17,1319123.7021726326,181945.0,2253.3019421698514,1.139415843738672
2020-12-18,1353946.095893213,186673.0,2312.6688007450603,1.1391217780184368
2020-12-19,1389551.7726181862,191544.0,2374.023025482801,1.1387488751021626
2020-12-20,1425931.8316592677,196561.0,2437.423074784735,1.138294287074836
2020-12-21,1463074.1491639349,201728.0,2502.9282720019005,1.1377549345631932
2020-12-22,1500963.0121018048,207046.0,2570.598707076712,1.1371274571505374
2020-12-23,1539578.7271056585,212519.0,2640.4951246079936,1.1364081703307745
2020-12-24,1578897.203773237,218150.0,2712.6787975609514,1.1355930367741351
2020-12-25,1618889.5443552479,223941.0,2787.211385616142,1.1346776720603684
2020-12-26,1659521.676758007,229895.0,2864.154776934697,1.1336574028008501
2020-12-27,1700754.0570966008,236014.0,2943.5709112850714,1.1325273814704453
2020-12-28,1742541.439104775,242299.0,3025.521583114106,1.1312827386683741
2020-12-29,1784832.6732550317,248753.0,3110.0682239180383,1.1299187316724792
2020-12-30,1827570.4945714546,255376.0,3197.2716621564186,1.1284308482415495
2020-12-31,1870691.284971743,262171.0,3287.1918593804876,1.1268148485176315
2021-01-01,1912688.6357835536,269138.0,3379.8876209999135,1.124222600194178
2021-01-02,1952298.0242495607,276277.0,3475.4162779866047,1.120029731186217
2021-01-03,1991813.544582736,283588.0,3573.833336604247,1.1157142920390095
2021-01-04,2030932.3101140738,291071.0,3675.192094417406,1.1112804497176043
2021-01-05,2069245.9188160913,298725.0,3779.543219268552,1.106726722111071
2021-01-06,2106176.6328833327,306548.0,3886.934287595051,1.1020524058460397
2021-01-07,2141410.7425259287,314537.0,3997.4092756305286,1.0972578384487683
2021-01-08,2175116.5122253424,322691.0,4111.0079966981975,1.092344836788672
